Incident_ID,Department,Risk_Type,Report_Date,Resolution_Time (hrs),Severity_Level,Financial_Impact ($),Root_Cause
INC001,Compliance,System Failure,2024-10-26,68,Medium,4889.54,Process Gap
INC002,IT,Fraud Detection,2024-10-23,4,Medium,11816.7,Third-Party Risk
INC003,Operations,System Failure,2024-10-24,60,Medium,4611.78,Technical Glitch
INC004,HR,Data Error,2024-10-31,48,Low,13702.56,Technical Glitch
INC005,Operations,System Failure,2024-10-02,72,Medium,5434.38,Third-Party Risk
INC006,Compliance,System Failure,2024-11-25,71,High,11631.87,Technical Glitch
INC007,IT,Access Violation,2024-12-25,51,Medium,8872.57,Process Gap
INC008,Compliance,Access Violation,2024-12-01,67,High,1639.21,Third-Party Risk
INC009,Compliance,Data Error,2024-10-03,36,Low,8789.99,Third-Party Risk
INC010,Compliance,Fraud Detection,2024-10-03,63,Low,3641.99,Human Error
INC011,IT,System Failure,2024-10-16,11,High,17888.53,Third-Party Risk
INC012,IT,Policy Breach,2024-12-09,49,Low,22977.95,Process Gap
INC013,IT,Access Violation,2024-10-21,42,Low,14503.51,Human Error
INC014,IT,Data Error,2024-11-03,33,Medium,15241.06,Technical Glitch
INC015,HR,Data Error,2024-10-31,50,High,6441.99,Insider Threat
INC016,Operations,Data Error,2024-10-15,7,Medium,14511.64,Third-Party Risk
INC017,IT,Fraud Detection,2024-10-11,44,Medium,2737.61,Insider Threat
INC018,Finance,System Failure,2024-11-23,41,Low,17132.89,Technical Glitch
INC019,Finance,Access Violation,2024-11-28,68,Medium,23961.24,Technical Glitch
INC020,HR,Fraud Detection,2024-10-21,56,Medium,20702.01,Process Gap
INC021,Compliance,System Failure,2024-10-02,41,Medium,15852.24,Technical Glitch
INC022,Operations,Access Violation,2024-11-08,8,High,20779.06,Process Gap
INC023,Finance,Access Violation,2024-11-11,65,Medium,14594.87,Process Gap
INC024,HR,Data Error,2024-12-29,12,Low,19225.67,Insider Threat
INC025,Operations,Policy Breach,2024-10-27,72,Low,15055.5,Human Error
INC026,IT,Access Violation,2024-11-19,49,Medium,12617.02,Insider Threat
INC027,Operations,Data Error,2024-12-20,47,Medium,10542.04,Technical Glitch
INC028,Compliance,Data Error,2024-12-20,62,Medium,18620.22,Third-Party Risk
INC029,HR,Data Error,2024-12-22,63,High,10515.96,Technical Glitch
INC030,Operations,Fraud Detection,2024-11-25,21,Medium,18013.07,Technical Glitch
INC031,IT,Data Error,2024-12-21,71,High,14919.56,Third-Party Risk
INC032,IT,Fraud Detection,2024-12-04,17,Low,4670.69,Insider Threat
INC033,HR,Data Error,2024-10-06,70,Medium,16319.81,Third-Party Risk
INC034,HR,Access Violation,2024-12-07,35,Medium,6571.05,Human Error
INC035,Compliance,Fraud Detection,2024-10-25,20,Low,2906.97,Human Error
INC036,IT,Fraud Detection,2024-12-06,63,Medium,15691.55,Insider Threat
INC037,HR,Access Violation,2024-12-23,29,High,9065.77,Technical Glitch
INC038,IT,Access Violation,2024-12-23,26,Low,6316.02,Human Error
INC039,Operations,Access Violation,2024-11-19,35,High,13664.59,Insider Threat
INC040,Finance,Access Violation,2024-12-01,43,High,18363.86,Insider Threat
INC041,IT,Policy Breach,2024-12-02,35,High,3726.32,Process Gap
INC042,Compliance,Fraud Detection,2024-10-11,57,Low,7539.35,Process Gap
INC043,Compliance,Policy Breach,2024-10-12,39,Low,17065.59,Human Error
INC044,IT,Data Error,2024-10-09,62,High,5014.96,Insider Threat
INC045,Operations,Data Error,2024-12-03,26,Low,5223.83,Process Gap
INC046,HR,Policy Breach,2024-12-02,41,Low,1795.27,Third-Party Risk
INC047,HR,Policy Breach,2024-11-22,22,Medium,23141.33,Process Gap
INC048,HR,Access Violation,2024-11-23,51,Low,24839.99,Human Error
INC049,HR,Policy Breach,2024-12-15,57,Medium,3126.58,Technical Glitch
INC050,IT,Fraud Detection,2024-12-29,38,Medium,1832.39,Technical Glitch
